Entry,Ensembl_ID,Gene_Name,Target_terminus,Chromosome,Coordinate,Preferred_region,Preferred_exon,Preferred_anchor,Preferred_offset
1,ENST00000611116,TRAC,,,,CDS,1,start,0
2,ENST00000611116,TRAC,,,,CDS,1,end,0
3,ENST00000611116,TRAC,,,,5UTR,,start,0
4,ENST00000611116,TRAC,,,,3UTR,,start,0
5,ENST00000611116,TRAC,,,,3UTR,,end,0
6,ENST00000415355,GZMB,,,,CDS,1,start,0
7,ENST00000415355,GZMB,,,,CDS,1,end,0
8,ENST00000415355,GZMB,,,,5UTR,,start,0
9,ENST00000415355,GZMB,,,,3UTR,,end,0
10,ENST00000334409.10,PDCD1,,,,CDS,1,start,0
11,ENST00000334409.10,PDCD1,,,,CDS,1,end,0
12,ENST00000334409.10,PDCD1,,,,3UTR,,start,0
13,ENST00000334409.10,PDCD1,,,,3UTR,,end,0
14,ENST00000614167.2,B2M,,,,CDS,1,start,0
15,ENST00000614167.2,B2M,,,,CDS,1,end,0
16,ENST00000614167.2,B2M,,,,3UTR,,start,0
17,ENST00000614167.2,B2M,,,,3UTR,,end,0
18,ENST00000614167.2,B2M,,,,5UTR,,start,0
